Restro Link,Image Link,Offer,Name,Food Type,Address
https://www.swiggy.com/restaurants/the-brooklyn-creamery-healthy-ice-cream-beyond-temptation-2-greater-vaishali-nagar-indore-538512,"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/b1b35780a9b1dfeb26d680506d494eaa",60% OFF UPTO ₹120,The Brooklyn Creamery - Healthy Ice Cream,"Desserts, Ice Cream, Healthy Food",2 GREATER VAISHALI NAGAR
https://www.swiggy.com/restaurants/burger-king-new-palasia-indore-indore-728301,"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/aa77cb6fce4d94f3ad4b4e7fb42782db",60% OFF UPTO ₹120,Burger King,"Burgers, American",Indore
https://www.swiggy.com/restaurants/thali-and-more-scheme-103-rau-and-rajendra-nagar-indore-747528,"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/b14cd9fc40129fcfb97aa7e621719d07",50% OFF UPTO ₹100,Thali And More,North Indian,Rau & Rajendra Nagar
https://www.swiggy.com/restaurants/vijay-chaat-house-nihalpura-rajwada-indore-69420,"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/mstgatb2vu8v48kcua81",10% OFF UPTO ₹40,Vijay Chaat House,"Snacks, Sweets, Chaat, Street Food",Rajwada
https://www.swiggy.com/restaurants/pishori-restaurant-khatiwala-tank-sapna-sangeeta-indore-67500,"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/ntfzr5mgmt9b9f545vtl",₹125 OFF ABOVE ₹199,Pishori Restaurant,"North Indian, Chinese, Mughlai, Punjabi, Indian",Sapna Sangeeta
https://www.swiggy.com/restaurants/young-tarang-dukan-st-new-palasia-indore-181385,"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/jqybqxnrn0kqarupland",₹125 OFF ABOVE ₹199,Young Tarang,"South Indian, Chinese, Snacks, North Indian, Chaat",New Palasia
https://www.swiggy.com/restaurants/hotel-apna-avenue-manas-dawar-new-palasia-indore-99966,"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/iqxxrnl22lasvumrgcjl",₹125 OFF ABOVE ₹199,Hotel Apna Avenue,"North Indian, Chinese, Fast Food, Indian, South Indian, Beverages",New Palasia
https://www.swiggy.com/restaurants/vijayshree-sandwich-54-scheme-vijay-nagar-indore-64124,"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/cdbiycoljil98hyhyhou",30% OFF UPTO ₹75,Vijayshree Sandwich,"Fast Food, Street Food, Pizzas, Juices, Beverages",Vijay Nagar
https://www.swiggy.com/restaurants/chai-thikana-south-tukoganj-manorama-ganj-indore-304902,"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/cjhdqthzjl8c2cv9gib4",₹125 OFF ABOVE ₹599,Chai Thikana,"Fast Food, Beverages, Cafe, Burgers, Bakery, Desserts, Tex-Mex, Snacks",Manorama Ganj
https://www.swiggy.com/restaurants/pandit-food-service-mangal-city-mall-vijay-nagar-indore-402511,"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/wvhjhoennezzrro41ua3",₹125 OFF ABOVE ₹199,Pandit Food Service,"North Indian, Indian, Thalis, Chinese, Tandoor, Desserts",Vijay Nagar
